toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
2292.01,236934268,PC,20h17m03.99s,304.266636,+65d09m13.84s,65.153844,14.36,0.05,-0.05,0,63.728,0.048,-0.048,0,2459704.906,0.005494,-0.005494,0,7.0767314,0.0000653,-0.0000653,0,2.444,0.401,-0.401,0,630,1.72699,-1.72699,0,2.4422,0.185241,-0.185241,0,106.205,,,,894,,,,10.8746,0.006,-0.006,0,204.888,1.107,-1.107,0,5781,137.012,-137.012,0,4.45679,0.0720534,-0.0720534,0,1,0.05,-0.05,0,9/30/2020 13:26,9/2/2022 16:02
2293.01,71347873,PC,07h42m22.41s,115.593377,+70d24m14.67s,70.404076,45.254,0.038,-0.038,0,-120.785,0.058,-0.058,0,2459600.315,0.00332,-0.00332,0,6.0683318,0.0000169,-0.0000169,0,1.9825707,0.3656837,-0.3656837,0,1742.733239,121.83509,-121.83509,0,2.1199939,0.8297539,-0.8297539,0,15.1794104,,,,503.4234887,,,,11.814,0.007,-0.007,0,62.7576,0.12815,-0.12815,0,3668,157,-157,0,4.73795,0.0081443,-0.0081443,0,0.499376,0.0148842,-0.0148842,0,9/30/2020 13:26,5/22/2023 16:02
2294.01,284361752,PC,19h12m26.06s,288.108567,+54d38m25.54s,54.640427,17.354,0.044,-0.044,0,-14.284,0.042,-0.042,0,2458691.694,0.007434,-0.007434,0,340.3877311,0.0100323,-0.0100323,0,9.2318877,0.5708615,-0.5708615,0,718.3774619,77.032394,-77.032394,0,3.6888424,0.4090202,-0.4090202,0,2.3021148,,,,314.1604363,,,,9.78288,0.006,-0.006,0,191.396,0.7605,-0.7605,0,6424,132.667,-132.667,0,4.33722,0.088365,-0.088365,0,1.27808,0.0580779,-0.0580779,0,9/30/2020 13:26,3/29/2022 10:10
2295.01,48018596,PC,18h46m18.29s,281.576196,+50d29m32.88s,50.492466,-61.841,0.049,-0.049,0,26.834,0.045,-0.045,0,2458713.455,0.001557,-0.001557,0,60.06632,0.0000773,-0.0000773,0,2.409,0.661,-0.661,0,990,1334.08,-1334.08,0,7.64759,2.31535,-2.31535,0,42.0912,,,,709,,,,9.00772,0.006,-0.006,0,126.279,0.395,-0.395,0,5660,124.128,-124.128,0,4.10485,0.0742244,-0.0742244,0,1.47,0.07,-0.07,0,9/30/2020 13:26,10/18/2024 10:08
2296.01,165554103,PC,17h47m43.58s,266.931576,+55d52m22.13s,55.872814,-31.857,0.052,-0.052,0,4.351,0.057,-0.057,0,2458720.262,0.014213,-0.014213,0,139.2632286,0.0051524,-0.0051524,0,15.5650549,1.4262496,-1.4262496,0,403.2688035,54.774364,-54.774364,0,1.8388146,0.7987887,-0.7987887,0,2.3286226,,,,315.0609123,,,,10.4431,0.006,-0.006,0,135.723,0.602,-0.602,0,5373.01,107.376,-107.376,0,4.49164,0.0779476,-0.0779476,0,0.90717,0.0439372,-0.0439372,0,9/30/2020 13:26,3/29/2022 10:10
2297.01,233500935,PC,16h42m57.57s,250.739892,+76d26m58.51s,76.449587,-2.377,0.04,-0.04,0,85.54,0.047,-0.047,0,2459623.757,0.015232,-0.015232,0,22.048775,0.0001787,-0.0001787,0,3.8087167,0.6134766,-0.6134766,0,540.6928554,65.312805,-65.312805,0,1.9509885,0.9928261,-0.9928261,0,15.3309639,,,,504.6753756,,,,11.6702,0.006,-0.006,0,168.911,0.7,-0.7,0,4836,120.564,-120.564,0,4.53282,0.0889542,-0.0889542,0,0.794435,0.0526231,-0.0526231,0,9/30/2020 13:26,5/19/2023 16:02
2298.01,229608594,PC,18h18m02.89s,274.512058,+74d27m59.53s,74.466535,17.772,0.032,-0.032,0,-67.083,0.042,-0.042,0,2458960.029,0.004755,-0.004755,0,,,,0,7.6412469,0.6648593,-0.6648593,0,1990.126391,173.0905,-173.0905,0,2.8951165,0.8262317,-0.8262317,0,0.4779984,,,,212.0685941,,,,11.1919,0.006,-0.006,0,84.1738,0.1599,-0.1599,0,4239,119.935,-119.935,0,4.61861,0.104338,-0.104338,0,0.659937,0.0590402,-0.0590402,0,9/30/2020 13:26,5/25/2023 16:02
2299.01,362220495,FA,19h04m54.71s,286.227961,+79d45m21.42s,79.755949,-14.003,0.096,-0.096,0,194.934,0.092,-0.092,0,2458798.448,0.006532,-0.006532,0,165.0031583,0.0112449,-0.0112449,0,5.0545903,0.490563,-0.490563,0,2976.549044,415.37665,-415.37665,0,4.5170453,0.4236195,-0.4236195,0,1.8560976,,,,297.6939099,,,,9.863,0.043,-0.043,0,,0.288849,-0.288849,0,5780,,,0,4.56973,0.0176199,-0.0176199,0,0.699973,0.0265559,-0.0265559,0,9/30/2020 15:42,9/18/2024 10:08
230.01,160074939,FA,23h05m16.6s,346.319169,-36d56m44.3s,-36.945639,14.666,0.048,-0.048,0,-24.892,0.072,-0.072,0,2458366.33,0.002965,-0.002965,0,13.340145,0.004364,-0.004364,0,4.611198,0.546755,-0.546755,0,589.893526,79.06242,-79.06242,0,3.929267,1.571116,-1.571116,0,268.2186408,,,,1032.148032,,,,8.7435,0.006,-0.006,0,140.941,0.852,-0.852,0,6467,198,-198,0,4.16063,0.321775,-0.321775,0,1.57943,0.198661,-0.198661,0,11/29/2018 21:52,4/10/2025 12:03
2300.01,280031353,PC,19h49m39.88s,297.416187,+68d53m00.07s,68.883354,17.488,0.038,-0.038,0,2.292,0.046,-0.046,0,2459445.193,0.004281,-0.004281,0,4.8566656,0.000013,-0.000013,0,2.585881,0.1564475,-0.1564475,0,1163.841609,70.19892,-70.19892,0,3.2987328,0.2169016,-0.2169016,0,179.2788125,,,,933.2585799,,,,11.8231,0.006,-0.006,0,221.705,1.0125,-1.0125,0,5607,158.447,-158.447,0,4.63178,0.076559,-0.076559,0,0.796892,0.0411759,-0.0411759,0,9/30/2020 15:49,7/15/2023 12:02
